Dataset silenced,,Dataset expr,
X,Y,X,Y
-0.772189349,0.030651846,-0.834319527,0.02002731
-0.615384615,0.042042977,-0.73964497,0.016745323
-0.476331361,0.053290372,-0.627218935,0.019679946
-0.346153846,0.072563064,-0.532544379,0.022470833
-0.218934911,0.075617469,-0.446745562,0.019116978
-0.150887574,0.098435666,-0.375739645,0.017667633
-0.094674556,0.135328079,-0.284023669,0.014361689
-0.056213018,0.186246796,-0.198224852,0.023153583
-0.023668639,0.243190475,-0.106508876,0.027944805
0.00591716,0.296061615,-0.023668639,0.034688451
0.032544379,0.334738759,0.038461538,0.047337278
0.059171598,0.363294445,0.071005917,0.047600795
0.085798817,0.361485758,0.115384615,0.045935846
0.103550296,0.34138658,0.165680473,0.040270225
0.144970414,0.30730901,0.224852071,0.036700764
0.186390533,0.263109983,0.310650888,0.0353712
0.25443787,0.231272309,0.449704142,0.038521429
0.319526627,0.207507846,0.579881657,0.039575498
0.349112426,0.205723115,0.715976331,0.040677479
0.396449704,0.22837362,0.849112426,0.04985267
0.446745562,0.249023788,0.949704142,0.052691469
0.49704142,0.275746832,0.976331361,0.052907074
0.550295858,0.290348082,1.01183432,0.049145965
0.597633136,0.308950004,1.053254438,0.039359893
0.653846154,0.325599502,1.097633136,0.029597777
0.710059172,0.330103251,1.144970414,0.027956783
0.75739645,0.326437966,1.198224852,0.042558034
0.825443787,0.314843207,1.233727811,0.050942673
0.860946746,0.311082098,1.278106509,0.055350598
0.893491124,0.33158853,1.328402367,0.047660686
0.928994083,0.35414321,1.387573964,0.040042642
0.967455621,0.338260307,1.455621302,0.036545049
0.99408284,0.302038665,1.526627219,0.035095705
1.029585799,0.247670268,1.600591716,0.03974319
1.065088757,0.169010373,1.674556213,0.042366385
1.106508876,0.120762763,1.733727811,0.042845507
1.156804734,0.113072851,,
1.201183432,0.157966605,,
1.224852071,0.182449752,,
1.25443787,0.192810771,,
1.278106509,0.174783796,,
1.319526627,0.138681935,,
1.360946746,0.102580073,,
1.408284024,0.070574707,,
1.464497041,0.054835541,,
1.529585799,0.045241118,,
1.600591716,0.03974319,,
