Default Dataset,,Dataset expr,
X,Y,X,Y
-1.075975826,0.721111465,-1.081258236,0.833666561
-1.040407598,0.696573817,-1.042793202,0.795792248
-1.028797655,0.647044122,-1.019368837,0.731085564
-1.00544145,0.570886536,-0.999045758,0.645362839
-0.991059663,0.487026855,-0.981585405,0.578702231
-0.958649521,0.431930749,-0.955105194,0.527377653
-0.893454355,0.384718499,-0.931374108,0.514200027
-0.860782933,0.373517517,-0.904519017,0.52585541
-0.833939201,0.383264416,-0.886399782,0.569886854
-0.810105875,0.387263144,-0.85927205,0.627345845
-0.780456218,0.368405507,-0.829122552,0.69246149
-0.739003499,0.332462398,-0.80216522,0.721293225
-0.700561185,0.290771118,-0.763529786,0.712046167
-0.659222066,0.235743173,-0.722213387,0.653201254
-0.620779752,0.194051893,-0.683918753,0.586699686
-0.585279684,0.158063343,-0.648600445,0.520175399
-0.555607307,0.143022675,-0.616088063,0.482255646
-0.537772073,0.139342028,-0.580394874,0.478711319
-0.519823238,0.154746217,-0.538589994,0.501931204
-0.498875358,0.173990094,-0.508599537,0.540328077
-0.471997546,0.189462444,-0.484686691,0.557686191
-0.442245649,0.187781161,-0.437065479,0.558049711
-0.400633889,0.178556823,-0.404382696,0.548757214
-0.353058118,0.171286409,-0.368632708,0.554755305
-0.317376289,0.165833598,-0.341743536,0.572136139
-0.281773981,0.147021402,-0.31780797,0.593311219
-0.246251193,0.114849821,-0.282023901,0.605034762
-0.207717999,0.08842641,-0.240480302,0.584359522
-0.160244468,0.063979643,-0.214034171,0.527309492
-0.106784205,0.045303767,-0.18750852,0.483618849
-0.050256736,0.04191848,-0.155143818,0.420888808
0.003362566,0.049961376,-0.125755441,0.358136048
0.048052892,0.057936111,-0.087404008,0.301176898
0.104637161,0.064093243,-0.069852774,0.24978416
0.167208161,0.076021266,-0.040407598,0.196573817
0.229779161,0.087949289,-0.010826101,0.166265279
0.277457173,0.097855228,0.025037488,0.191348207
0.30724315,0.101899396,0.05221066,0.256441132
0.336972327,0.096401145,0.076452947,0.329145272
0.399429727,0.089244331,0.097752988,0.407552143
0.449993184,0.083905121,0.121983914,0.478347798
0.509496978,0.080542555,0.143181715,0.539578316
0.53624983,0.075021584,0.18212387,0.581860317
0.563104921,0.086676966,0.214886173,0.585927205
0.592959058,0.102172036,0.229620121,0.561230518
0.622926796,0.136751943,0.256236652,0.532807743
0.655734539,0.148452765,0.282796383,0.49484255
0.694460853,0.154473577,0.327179988,0.451288226
0.742059345,0.15102013,0.350888354,0.434293634
0.792554642,0.134230018,0.368791748,0.442063889
0.842981779,0.105989003,0.386695142,0.449834144
0.893454355,0.085381924,0.422388331,0.446289817
0.938031081,0.074271823,0.457945199,0.419843686
0.97370155,0.066910528,0.490400782,0.372381515
1.012427864,0.07293134,0.508031535,0.334348162
1.045190167,0.076998228,0.537794793,0.334575362
1.080849275,0.06772845,0.54690553,0.365179261
1.122449675,0.056595629,0.562116599,0.420638888
1.169968646,0.039782796,0.580394874,0.491389103
1.211614486,0.03628391,0.59879811,0.58313264
1.244444949,0.051801699,0.6145431,0.728290998
1.274401327,0.084473122,0.633037215,0.835302404
1.298598173,0.149543327,0.645499159,0.928908984
1.328736311,0.212750488,0.660687509,0.980551643
1.355909483,0.277843413,0.678670423,0.9998
1.368132867,0.331371836,0.702435589,0.994229109
1.392193393,0.373540237,0.711205526,0.967578498
1.419162085,0.404280456,0.722872268,0.927591221
1.443029491,0.414004635,0.743172627,0.838051529
1.463863771,0.414163675,0.754566729,0.752260644
1.496501113,0.397237243,0.774844368,0.658903985
1.52619621,0.386013541,0.792282001,0.58842641
1.544042805,0.384241378,0.809628754,0.502680965
1.570977416,0.409256146,0.827168628,0.449379743
1.597912028,0.434270914,0.862532376,0.39048939
1.62484664,0.459285682,0.88014041,0.348639069
1.648782206,0.480460762,0.897691644,0.297246331
1.675546417,0.476848276,0.90643886,0.266778752
1.705139274,0.448448221,0.941916208,0.226973236
1.740548462,0.397191803,0.959671923,0.209933203
1.767028673,0.345867224,0.980494843,0.20818376
1.790464398,0.283069023,0.995467351,0.223565229
1.82298814,0.247057754,1.01053074,0.254214568
1.84382242,0.247216795,1.03150134,0.277275412
1.861771255,0.262620984,1.064377244,0.300427137
1.909824147,0.335506884,1.103001318,0.289271595
1.951867588,0.398804926,1.1354001,0.232267006
1.990889263,0.454446313,1.167821602,0.179079384
2.038760394,0.496796474,1.206161676,0.120211751
2.101376835,0.516358431,1.232835007,0.101331395
2.131083292,0.507043214,1.26550643,0.090130413
2.217601218,0.542054801,1.280615259,0.128413687
2.24460399,0.578520471,1.307765711,0.189689644
2.18762212,0.505566411,1.334972963,0.26050802
,,1.371325033,0.367655746
,,1.389773708,0.467033217
,,1.425887218,0.534102785
,,1.464818012,0.574476303
,,1.521447721,0.588267369
,,1.560242196,0.605739083
,,1.596219385,0.649906848
,,1.626323443,0.707388558
,,1.650338529,0.741923024
,,1.689155723,0.763211705
,,1.709921843,0.751919844
,,1.727541237,0.711978007
,,1.759735539,0.620620712
,,1.79187304,0.519720998
,,1.812196119,0.433998273
,,1.83873313,0.392216113
,,1.874460399,0.394397237
,,1.901519971,0.440405326
,,1.967476258,0.52106148
,,2.018482755,0.590153133
,,2.051517699,0.640023629
,,2.081417276,0.663152633
,,2.117065025,0.651974372
,,2.18249875,0.644840278
,,2.224371791,0.679511065
