Default Dataset,,Dataset expre,
X,Y,X,Y
-1.08208262,0.99741593,-1.075985613,0.85090617
-1.042686036,0.973977721,-1.030010127,0.827453993
-1.019848448,0.916604393,-0.993756329,0.848608444
-0.977518595,0.784879701,-0.947745923,0.835771903
-0.938457241,0.659531375,-0.911694661,0.795355659
-0.876460523,0.506533506,-0.865789014,0.750672207
-0.798009568,0.355623843,-0.829695848,0.722994727
-0.749037958,0.24299333,-0.787149492,0.657086985
-0.683619094,0.130327897,-0.747948458,0.574201208
-0.618081503,0.053755631,-0.728505081,0.484987953
-0.5524182,0.015399658,-0.689478647,0.34902399
-0.509669309,0.011062611,-0.663498271,0.247058002
-0.447162761,0.013053043,-0.627593673,0.162056081
-0.401075532,0.023570905,-0.588273911,0.11526347
-0.341844467,0.029814576,-0.548891294,0.087579006
-0.266201069,0.025407689,-0.499528582,0.093843629
-0.203659601,0.038013758,-0.440416245,0.063994133
-0.141118134,0.050619827,-0.391186228,0.029919335
-0.072095541,0.033488145,-0.341907323,0.010706429
-0.00634843,0.020609701,-0.266284876,0.000154
0.079191256,0.024674372,-0.187324091,0.0040088
0.14498027,0.024534693,-0.131312637,0.031490729
0.210860076,0.05199567,-0.08853581,0.035646192
0.263547159,0.068868946,-0.039235953,0.022802668
0.293173168,0.075175472,-0.0030939,0.00998708
0.316262178,0.094234731,0.056158117,0.022600133
0.355770507,0.104766561,0.085937773,0.075615463
0.395264867,0.111052135,0.128986975,0.162572895
0.418256102,0.10038761,0.165548067,0.277144952
0.464182701,0.062073541,0.198833677,0.395970248
0.513461606,0.042860635,0.2288019,0.506310019
0.536480777,0.04068862,0.252128365,0.59755561
0.575954185,0.040604812,0.29841813,0.669644167
0.605566226,0.042665084,0.318189755,0.6802179
0.641722247,0.03409575,0.344491392,0.675915773
0.691036072,0.025498481,0.354261969,0.646171037
0.793050948,0.038020742,0.38366449,0.584537486
0.845682159,0.037908999,0.419597025,0.508028076
0.917994203,0.020770332,0.462122429,0.435750952
0.97714146,0.001536474,0.491420191,0.342270489
1.042965394,0.012012431,0.523958515,0.233921151
1.112029891,0.007619513,0.55004365,0.163802074
1.174494535,-0.003128819,0.566316304,0.110688969
1.24360792,0.007340154,0.589314523,0.102147571
1.335782379,0.028375877,0.615630129,0.1020917
1.408129343,0.021852848,0.635464609,0.13177358
1.493648078,0.019548137,0.66843594,0.155058142
1.552830255,0.010929916,0.701351399,0.161357684
1.612026399,0.00655795,0.740761951,0.14216573
1.674581835,0.023410273,0.796563886,0.105953836
1.72725495,0.036037294,0.85236582,0.069741942
1.7930719,0.044390125,0.918057059,0.039878479
1.829381569,0.082529595,0.973886929,0.012159095
1.895540734,0.194915669,1.049523344,0.005629081
1.941928275,0.296728009,1.12518071,0.00546845
1.981681042,0.381569298,1.217257394,0.0003219611
2.024513741,0.402709781,1.292942697,0.005112267
2.060669763,0.394140448,1.368558159,0.0007787129
2.106694137,0.385550162,1.460704683,0.004756085
2.146153578,0.3812201,1.516716136,0.032238014
2.192059224,0.336536648,1.56940322,0.04911129
2.237985823,0.298222579,1.599029228,0.055417816
,,1.648357021,0.051066802
,,1.700981248,0.048831931
,,1.740440689,0.044501868
,,1.812990188,0.099549534
,,1.872577435,0.214072703
,,1.928847295,0.320110347
,,1.968558159,0.392212871
,,2.021391906,0.453671823
,,2.064343332,0.510905472
,,2.11044453,0.525669588
,,2.130090442,0.498027028
,,2.159534867,0.449132242
,,2.198798757,0.385354611
,,2.241387017,0.332185634
