Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.001134102,17.12801889,2.055818461,16.0389857,2.019362222,14.9953289,2.037590342,13.92898391,2.019362222,12.83995072,2.019362222,11.81898211,2.037590342,10.75263712,2.055818461,9.686292123,2.019362222,8.688011703,2.037590342,7.712419475,2.019362222,6.691450864,2.037590342,5.488976722,2.019362222,4.241126197,2.074046581,3.106716629,2.019362222,2.017683443,2.019362222,1.019403023,2.001134102,-0.001565588
2.037590342,17.12801889,2.0922747,16.0389857,2.055818461,14.9953289,2.074046581,13.92898391,2.055818461,12.83995072,2.055818461,11.81898211,2.074046581,10.75263712,2.0922747,9.686292123,2.055818461,8.688011703,2.074046581,7.712419475,2.055818461,6.691450864,2.074046581,5.488976722,2.055818461,4.241126197,2.11050282,3.106716629,2.055818461,2.017683443,2.055818461,1.019403023,2.037590342,-0.001565588
2.074046581,17.12801889,2.128730939,16.0389857,2.0922747,14.9953289,2.11050282,13.92898391,2.0922747,12.83995072,2.0922747,11.81898211,2.11050282,10.75263712,2.128730939,9.686292123,2.0922747,8.688011703,2.11050282,7.712419475,2.0922747,6.691450864,2.11050282,5.488976722,2.0922747,4.241126197,2.146959059,3.106716629,2.0922747,2.017683443,2.0922747,1.019403023,2.074046581,-0.001565588
2.11050282,17.12801889,2.165187178,16.0389857,2.128730939,14.9953289,2.146959059,13.92898391,2.128730939,12.83995072,2.128730939,11.81898211,2.146959059,10.75263712,2.165187178,9.686292123,2.128730939,8.688011703,2.146959059,7.712419475,2.128730939,6.691450864,2.146959059,5.488976722,2.128730939,4.241126197,2.183415298,3.106716629,2.128730939,2.017683443,2.128730939,1.025075071,2.11050282,-0.001565588
2.146959059,17.12801889,2.201643418,16.0389857,2.165187178,14.9953289,2.183415298,13.92898391,2.165187178,12.83995072,2.165187178,11.81898211,2.183415298,10.75263712,2.201643418,9.686292123,2.165187178,8.688011703,2.183415298,7.712419475,2.165187178,6.691450864,2.183415298,5.488976722,2.165187178,4.241126197,2.219871537,3.106716629,2.165187178,2.017683443,2.165187178,1.019403023,2.146959059,-0.001565588
2.183415298,17.12801889,2.238099657,16.0389857,2.201643418,14.9953289,2.219871537,13.92898391,2.201643418,12.83995072,2.201643418,11.81898211,2.219871537,10.75263712,2.238099657,9.686292123,2.201643418,8.688011703,2.219871537,7.712419475,2.201643418,6.691450864,2.219871537,5.488976722,2.201643418,4.241126197,2.256327776,3.106716629,2.201643418,2.017683443,2.201643418,1.025075071,2.183415298,-0.001565588
2.219871537,17.12801889,2.274555896,16.0389857,2.238099657,14.9953289,2.256327776,13.92898391,2.238099657,12.83995072,2.238099657,11.81898211,2.256327776,10.75263712,2.274555896,9.686292123,2.238099657,8.688011703,2.256327776,7.712419475,2.238099657,6.691450864,2.256327776,5.488976722,2.238099657,4.241126197,2.292784015,3.106716629,2.238099657,2.017683443,2.238099657,1.042091215,2.219871537,0.009778508
2.256327776,17.12801889,2.311012135,16.0389857,2.274555896,14.9953289,2.292784015,13.92898391,2.274555896,12.83995072,2.274555896,11.81898211,2.292784015,10.75263712,2.311012135,9.686292123,2.274555896,8.688011703,2.292784015,7.712419475,2.274555896,6.691450864,2.292784015,5.488976722,2.274555896,4.25814234,2.329240254,3.106716629,2.274555896,2.017683443,2.274555896,1.025075071,2.256327776,0.009778508
2.292784015,17.12801889,2.347468374,16.0389857,2.311012135,14.9953289,2.329240254,13.92898391,2.311012135,12.83995072,2.311012135,11.81898211,2.329240254,10.75263712,2.347468374,9.686292123,2.311012135,8.688011703,2.329240254,7.712419475,2.311012135,6.691450864,2.329240254,5.488976722,2.311012135,4.263814388,2.365696494,3.112388676,2.311012135,2.017683443,2.311012135,1.036419167,2.292784015,0.009778508
