Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.001080993,17.8686188,2.019111138,16.80484022,2.019111138,15.63468378,2.037141284,14.55908544,2.055171429,13.35346972,2.001080993,12.28969114,2.037141284,11.20227303,2.037141284,10.02029683,2.073201575,8.932878727,2.09123172,7.774542051,2.055171429,6.687123947,2.055171429,5.623345367,2.019111138,4.677764407,2.127292011,3.353951063,2.037141284,2.195614387,2.055171429,1.013638187,2.001080993,0.020778179
2.037141284,17.8686188,2.055171429,16.80484022,2.055171429,15.63468378,2.073201575,14.55908544,2.09123172,13.35346972,2.037141284,12.28969114,2.073201575,11.20227303,2.073201575,10.02029683,2.109261865,8.932878727,2.127292011,7.774542051,2.09123172,6.687123947,2.09123172,5.623345367,2.055171429,4.677764407,2.163352302,3.353951063,2.073201575,2.195614387,2.09123172,1.013638187,2.037141284,0.020778179
2.073201575,17.8686188,2.09123172,16.80484022,2.09123172,15.63468378,2.109261865,14.55908544,2.127292011,13.35346972,2.073201575,12.28969114,2.109261865,11.20227303,2.109261865,10.02029683,2.145322156,8.932878727,2.163352302,7.774542051,2.127292011,6.687123947,2.127292011,5.623345367,2.09123172,4.677764407,2.199412593,3.353951063,2.109261865,2.195614387,2.127292011,1.013638187,2.073201575,0.020778179
2.109261865,17.8686188,2.127292011,16.80484022,2.127292011,15.63468378,2.145322156,14.55908544,2.163352302,13.35346972,2.109261865,12.28969114,2.145322156,11.20227303,2.145322156,10.02029683,2.181382447,8.932878727,2.199412593,7.774542051,2.163352302,6.687123947,2.163352302,5.623345367,2.127292011,4.677764407,2.235472883,3.353951063,2.145322156,2.195614387,2.163352302,1.013638187,2.109261865,0.020778179
2.145322156,17.8686188,2.163352302,16.80484022,2.163352302,15.63468378,2.181382447,14.55908544,2.199412593,13.35346972,2.145322156,12.28969114,2.181382447,11.20227303,2.181382447,10.02029683,2.217442738,8.932878727,2.235472883,7.774542051,2.199412593,6.687123947,2.199412593,5.623345367,2.163352302,4.677764407,2.271533174,3.365770825,2.181382447,2.195614387,2.199412593,1.013638187,2.145322156,0.020778179
2.181382447,17.8686188,2.199412593,16.80484022,2.199412593,15.63468378,2.217442738,14.55908544,2.235472883,13.35346972,2.181382447,12.28969114,2.217442738,11.20227303,2.217442738,10.02029683,2.253503029,8.932878727,2.271533174,7.774542051,2.235472883,6.687123947,2.235472883,5.623345367,2.199412593,4.677764407,2.307593465,3.365770825,2.217442738,2.195614387,2.235472883,1.013638187,2.181382447,0.020778179
2.217442738,17.8686188,2.235472883,16.80484022,2.235472883,15.63468378,2.253503029,14.55908544,2.271533174,13.35346972,2.217442738,12.28969114,2.253503029,11.20227303,2.253503029,10.02029683,2.28956332,8.932878727,2.307593465,7.774542051,2.271533174,6.687123947,2.271533174,5.623345367,2.235472883,4.677764407,2.343653756,3.377590587,2.253503029,2.195614387,2.271533174,1.013638187,2.217442738,0.020778179
2.253503029,17.8686188,2.271533174,16.80484022,2.271533174,15.63468378,2.28956332,14.55908544,2.307593465,13.35346972,2.253503029,12.28969114,2.28956332,11.20227303,2.28956332,10.02029683,2.325623611,8.932878727,2.343653756,7.774542051,2.307593465,6.687123947,2.307593465,5.623345367,2.271533174,4.677764407,2.379714047,3.377590587,2.28956332,2.201524268,2.307593465,1.013638187,2.253503029,0.02668806
2.28956332,17.8686188,2.307593465,16.80484022,2.307593465,15.63468378,2.325623611,14.55908544,2.343653756,13.35346972,2.28956332,12.28969114,2.325623611,11.20227303,2.325623611,10.02029683,2.361683901,8.932878727,2.379714047,7.774542051,2.343653756,6.687123947,2.343653756,5.623345367,2.307593465,4.677764407,2.415774338,3.377590587,2.325623611,2.195614387,2.343653756,1.013638187,2.28956332,0.02668806
2.325623611,17.8686188,2.343653756,16.80484022,2.343653756,15.63468378,2.361683901,14.55908544,2.379714047,13.35346972,2.325623611,12.28969114,2.361683901,11.20227303,2.361683901,10.02029683,2.397744192,8.932878727,2.415774338,7.774542051,2.379714047,6.687123947,2.379714047,5.623345367,2.343653756,4.677764407,2.451834628,3.377590587,2.361683901,2.201524268,2.379714047,1.037277711,2.325623611,0.020778179
2.361683901,17.8686188,2.379714047,16.80484022,2.379714047,15.63468378,2.397744192,14.55908544,2.415774338,13.35346972,2.361683901,12.28969114,2.397744192,11.20227303,2.397744192,10.02029683,2.433804483,8.932878727,2.451834628,7.774542051,2.415774338,6.687123947,2.415774338,5.623345367,2.379714047,4.683674288,2.487894919,3.401230111,2.397744192,2.195614387,2.370698974,1.013638187,2.361683901,0.02668806
2.397744192,17.8686188,2.415774338,16.80484022,2.415774338,15.63468378,2.433804483,14.55908544,2.451834628,13.35346972,2.397744192,12.28969114,2.433804483,11.20227303,2.433804483,10.02029683,2.469864774,8.932878727,2.487894919,7.774542051,2.451834628,6.687123947,2.451834628,5.623345367,2.415774338,4.69549405,2.52395521,3.430779516,2.433804483,2.195614387,2.415774338,1.019548068,2.397744192,0.044417703
2.433804483,17.8686188,2.451834628,16.80484022,2.451834628,15.63468378,2.469864774,14.55908544,2.487894919,13.35346972,2.433804483,12.28969114,2.469864774,11.20227303,2.469864774,10.02029683,2.505925065,8.932878727,2.52395521,7.774542051,2.487894919,6.687123947,2.487894919,5.623345367,2.451834628,4.69549405,2.563020525,3.464268842,2.469864774,2.219253911,2.451834628,1.037277711,2.433804483,0.056237465
2.469864774,17.8686188,2.487894919,16.80484022,2.487894919,15.63468378,2.505925065,14.55908544,2.52395521,13.35346972,2.469864774,12.28969114,2.505925065,11.20227303,2.505925065,10.02029683,2.541985356,8.932878727,2.560015501,7.792271694,2.52395521,6.687123947,2.52395521,5.623345367,2.487894919,4.713223693,2.551000428,3.424869635,2.487894919,2.290172483,2.487894919,1.084556759,2.469864774,0.062147346
2.505925065,17.8686188,2.52395521,16.80484022,2.52395521,15.63468378,2.541985356,14.55908544,2.560015501,13.35346972,2.505925065,12.28969114,2.541985356,11.20227303,2.541985356,10.02029683,2.578045646,8.932878727,2.596075792,7.786361813,2.560015501,6.687123947,2.560015501,5.635165129,2.52395521,4.707313812,2.596075792,3.543067255,2.487894919,2.242893435,2.478879847,1.037277711,2.487894919,0.103516513
2.541985356,17.8686188,2.560015501,16.80484022,2.560015501,15.63468378,2.578045646,14.55908544,2.596075792,13.35346972,2.541985356,12.28969114,2.578045646,11.20227303,2.578045646,10.02029683,2.614105937,8.932878727,2.632136083,7.774542051,2.596075792,6.687123947,2.596075792,5.623345367,2.560015501,4.730953336,2.587060719,3.495788207,2.52395521,2.290172483,2.496909992,1.143655569,2.526960234,0.131095958
2.578045646,17.8686188,2.596075792,16.80484022,2.596075792,15.63468378,2.614105937,14.55908544,2.632136083,13.35346972,2.578045646,12.28969114,2.614105937,11.20227303,2.614105937,10.02029683,2.650166228,8.932878727,2.668196374,7.774542051,2.632136083,6.687123947,2.632136083,5.635165129,2.596075792,4.784142265,2.614105937,3.613985827,2.514940137,2.242893435,2.52395521,1.096376521,2.514940137,0.091696751
2.614105937,17.8686188,2.632136083,16.80484022,2.632136083,15.63468378,2.650166228,14.55908544,2.668196374,13.35346972,2.614105937,12.28969114,2.650166228,11.20227303,2.650166228,10.02029683,2.686226519,8.932878727,2.704256664,7.774542051,2.668196374,6.693033828,2.668196374,5.629255248,2.587060719,4.736863217,2.650166228,3.63171547,2.560015501,2.349271293,2.541985356,1.143655569,2.551000428,0.198074609
2.650166228,17.8686188,2.668196374,16.80484022,2.668196374,15.63468378,2.686226519,14.55908544,2.704256664,13.35346972,2.650166228,12.28969114,2.686226519,11.20227303,2.686226519,10.02029683,2.72228681,8.932878727,2.740316955,7.774542051,2.704256664,6.693033828,2.704256664,5.658804653,2.632136083,4.819601551,2.641151155,3.590346303,2.551000428,2.313812007,2.551000428,1.190934617,2.560015501,0.150795561
2.686226519,17.8686188,2.704256664,16.80484022,2.704256664,15.63468378,2.72228681,14.55908544,2.740316955,13.35346972,2.686226519,12.28969114,2.72228681,11.20227303,2.72228681,10.02029683,2.758347101,8.932878727,2.776377246,7.774542051,2.740316955,6.693033828,2.72228681,5.635165129,2.653171252,4.882640282,2.659181301,3.720363685,2.596075792,2.443829389,2.578045646,1.26776307,2.596075792,0.268993181
2.72228681,17.8686188,2.740316955,16.80484022,2.740316955,15.63468378,2.758347101,14.55908544,2.776377246,13.35346972,2.72228681,12.28969114,2.758347101,11.20227303,2.758347101,10.02029683,2.794407392,8.932878727,2.812437537,7.774542051,2.776377246,6.698943709,2.758347101,5.646984891,2.689231543,4.92991933,2.659181301,3.673084637,2.596075792,2.396550341,2.569030574,1.226393903,2.596075792,0.221714133
2.758347101,17.8686188,2.776377246,16.80484022,2.776377246,15.64059366,2.794407392,14.55908544,2.812437537,13.35346972,2.758347101,12.28969114,2.794407392,11.20227303,2.794407392,10.02029683,2.830467682,8.932878727,2.848497828,7.774542051,2.812437537,6.698943709,2.794407392,5.658804653,2.677211446,4.878700361,2.686226519,3.814921781,2.596075792,2.349271293,2.587060719,1.309132237,2.596075792,0.180344966
2.794407392,17.8686188,2.812437537,16.80484022,2.812437537,15.63468378,2.830467682,14.55908544,2.848497828,13.35346972,2.794407392,12.28969114,2.830467682,11.20227303,2.830467682,10.02029683,2.866527973,8.932878727,2.884558119,7.792271694,2.848497828,6.70485359,2.830467682,5.670624415,2.677211446,4.831421313,2.677211446,3.767642733,2.617110962,2.542327406,2.614105937,1.462789143,2.632136083,0.304452467
2.830467682,17.8686188,2.848497828,16.80484022,2.848497828,15.63468378,2.866527973,14.55908544,2.884558119,13.35346972,2.830467682,12.28969114,2.866527973,11.20227303,2.866527973,10.02029683,2.902588264,8.932878727,2.92061841,7.774542051,2.884558119,6.70485359,2.866527973,5.646984891,2.677211446,4.784142265,2.695241592,3.956758925,2.605090865,2.491108437,2.614105937,1.421419976,2.632136083,0.257173419
2.866527973,17.8686188,2.884558119,16.80484022,2.884558119,15.63468378,2.902588264,14.55908544,2.92061841,13.35346972,2.866527973,12.28969114,2.902588264,11.20227303,2.902588264,10.02029683,2.938648555,8.932878727,2.9566787,7.786361813,2.92061841,6.698943709,2.902588264,5.658804653,2.72228681,4.961438695,2.704256664,3.909479877,2.605090865,2.301992245,2.605090865,1.380050809,2.650166228,0.20398449
2.902588264,17.8686188,2.92061841,16.80484022,2.92061841,15.63468378,2.938648555,14.55908544,2.9566787,13.35346972,2.902588264,12.28969114,2.938648555,11.20227303,2.938648555,10.02029683,2.974708846,8.932878727,2.992738991,7.774542051,2.9566787,6.698943709,2.938648555,5.664714534,2.740316955,5.008717743,2.704256664,3.862200829,2.635141107,2.656585105,2.605090865,1.344591523,2.641151155,0.162615323
2.938648555,17.8686188,2.9566787,16.80484022,2.9566787,15.63468378,2.974708846,14.55908544,2.992738991,13.35346972,2.938648555,12.28969114,2.974708846,11.20227303,2.974708846,10.02029683,3.010769137,8.932878727,3.028799282,7.774542051,2.992738991,6.687123947,2.974708846,5.646984891,2.776377246,5.032357267,2.713271737,3.814921781,2.632136083,2.597486295,2.650166228,1.545527477,2.668196374,0.292632705
2.974708846,17.8686188,2.992738991,16.80484022,2.992738991,15.63468378,3.010769137,14.55908544,3.028799282,13.35346972,2.974708846,12.28969114,3.010769137,11.20227303,3.010769137,10.02029683,3.046829427,8.932878727,3.064859573,7.774542051,3.028799282,6.687123947,3.010769137,5.670624415,2.776377246,4.985078219,2.74332198,3.980398449,2.668196374,2.833881535,2.650166228,1.498248429,2.659181301,0.245353657
3.010769137,17.8686188,3.028799282,16.80484022,3.028799282,15.63468378,3.046829427,14.55908544,3.064859573,13.35346972,3.010769137,12.28969114,3.046829427,11.20227303,3.046829427,10.02029683,3.082889718,8.932878727,3.100919864,7.774542051,3.064859573,6.687123947,3.001754064,5.646984891,2.794407392,4.949618933,2.740316955,3.92720952,2.668196374,2.786602487,2.641151155,1.450969381,2.686226519,0.481748897
3.046829427,17.8686188,3.064859573,16.80484022,3.064859573,15.63468378,3.082889718,14.55908544,3.100919864,13.35346972,3.046829427,12.28969114,3.082889718,11.20227303,3.082889718,10.02029683,3.118950009,8.932878727,3.136980155,7.780451932,3.100919864,6.687123947,3.046829427,5.629255248,2.803422464,4.996897981,2.758347101,4.039497259,2.668196374,2.739323439,2.671201398,1.644025494,2.686226519,0.44037973
3.082889718,17.8686188,3.100919864,16.80484022,3.100919864,15.63468378,3.118950009,14.55908544,3.136980155,13.35346972,3.082889718,12.28969114,3.118950009,11.20227303,3.118950009,10.02029683,3.145995227,8.932878727,3.173040445,7.774542051,3.136980155,6.698943709,3.082889718,5.64107501,2.830467682,4.937799171,2.77938227,3.980398449,2.659181301,2.703864153,2.659181301,1.592806525,2.677211446,0.387190801
3.118950009,17.8686188,3.136980155,16.80484022,3.136980155,15.63468378,3.1550103,14.55908544,3.173040445,13.35346972,3.118950009,12.28969114,3.1550103,11.20227303,3.1550103,10.02029683,3.209100736,8.932878727,3.209100736,7.774542051,3.173040445,6.687123947,3.118950009,5.64107501,2.848497828,4.890520123,2.776377246,3.921299639,2.659181301,2.656585105,2.707261689,1.876480813,2.677211446,0.339911753
3.1550103,17.8686188,3.173040445,16.80484022,3.173040445,15.63468378,3.191070591,14.55908544,3.209100736,13.35346972,3.1550103,12.28969114,3.191070591,11.20227303,3.191070591,10.02029683,3.245161027,8.932878727,3.245161027,7.780451932,3.209100736,6.687123947,3.1550103,5.646984891,2.866527973,5.008717743,2.767362173,3.885840353,2.659181301,2.621125819,2.704256664,1.817382003,2.707261689,0.532967866
3.191070591,17.8686188,3.209100736,16.80484022,3.209100736,15.63468378,3.227130882,14.55908544,3.245161027,13.35346972,3.191070591,12.28969114,3.227130882,11.20227303,3.227130882,10.02029683,3.281221318,8.932878727,3.281221318,7.786361813,3.245161027,6.70485359,3.191070591,5.646984891,2.866527973,4.961438695,2.767362173,3.850381067,2.707261689,2.92055979,2.704256664,1.776012836,2.725291834,0.599946517
3.227130882,17.8686188,3.245161027,16.80484022,3.245161027,15.63468378,3.263191173,14.55908544,3.281221318,13.35346972,3.227130882,12.28969114,3.263191173,11.20227303,3.263191173,10.02029683,3.317281609,8.932878727,3.317281609,7.786361813,3.281221318,6.70485359,3.227130882,5.646984891,2.857512901,4.925979409,2.785392319,4.098596069,2.695241592,2.869340821,2.695241592,1.734643669,2.731301883,0.529027945
3.263191173,17.8686188,3.281221318,16.80484022,3.281221318,15.64059366,3.299251463,14.55908544,3.317281609,13.35346972,3.263191173,12.28969114,3.299251463,11.20227303,3.299251463,10.02029683,3.3533419,8.944698489,3.3533419,7.798181575,3.317281609,6.698943709,3.263191173,5.64107501,2.893573191,4.949618933,2.794407392,4.051317021,2.695241592,2.822061773,2.695241592,1.687364621,2.731301883,0.493568659
3.299251463,17.8686188,3.317281609,16.80484022,3.317281609,15.63468378,3.335311754,14.55908544,3.3533419,13.35346972,3.299251463,12.28969114,3.335311754,11.20227303,3.335311754,10.02029683,3.389402191,8.932878727,3.389402191,7.786361813,3.3533419,6.70485359,3.299251463,5.635165129,2.893573191,4.902339885,2.803422464,4.004037973,2.695241592,2.774782725,2.695241592,1.640085573,2.758347101,0.647225565
3.335311754,17.8686188,3.3533419,16.80484022,3.3533419,15.63468378,3.371372045,14.55908544,3.389402191,13.35346972,3.335311754,12.28969114,3.371372045,11.20227303,3.371372045,10.02029683,3.425462481,8.932878727,3.425462481,7.780451932,3.389402191,6.693033828,3.335311754,5.646984891,2.893573191,4.866880599,2.812437537,3.956758925,2.695241592,2.727503677,2.713271737,1.994678433,2.758347101,0.611766279
3.371372045,17.8686188,3.389402191,16.80484022,3.389402191,15.63468378,3.407432336,14.55908544,3.425462481,13.35346972,3.371372045,12.28969114,3.407432336,11.20227303,3.407432336,10.02029683,3.461522772,8.932878727,3.461522772,7.774542051,3.425462481,6.710763471,3.371372045,5.646984891,2.92061841,4.837331194,2.812437537,3.909479877,2.695241592,2.692044391,2.713271737,1.947399385,2.797412416,0.670865089
3.407432336,17.8686188,3.425462481,16.80484022,3.425462481,15.64059366,3.443492627,14.55908544,3.461522772,13.35346972,3.407432336,12.28969114,3.443492627,11.20227303,3.443492627,10.02029683,3.497583063,8.938788608,3.497583063,7.792271694,3.461522772,6.693033828,3.41043736,5.63910505,2.911603337,4.795962027,2.812437537,3.862200829,2.74332198,2.892980345,2.740316955,1.864661051,2.794407392,0.61767616
3.443492627,17.8686188,3.461522772,16.80484022,3.461522772,15.63468378,3.479552918,14.55908544,3.497583063,13.35346972,3.443492627,12.28969114,3.479552918,11.20227303,3.479552918,10.02029683,3.533643354,8.932878727,3.533643354,7.786361813,3.497583063,6.70485359,3.443492627,5.64107501,2.938648555,4.878700361,2.812437537,3.820831662,2.731301883,2.857521059,2.740316955,1.817382003,2.785392319,0.576306993
3.479552918,17.8686188,3.497583063,16.80484022,3.497583063,15.63468378,3.515613209,14.55908544,3.533643354,13.35346972,3.479552918,12.28969114,3.515613209,11.20227303,3.515613209,10.02029683,3.569703645,8.95060837,3.569703645,7.798181575,3.533643354,6.70485359,3.479552918,5.64107501,2.947663628,4.973258457,2.839482755,3.838561305,2.761352125,2.967838838,2.740316955,1.770102955,2.785392319,0.540847707
3.515613209,17.8686188,3.533643354,16.80484022,3.533643354,15.63468378,3.551673499,14.55908544,3.569703645,13.35346972,3.515613209,12.28969114,3.551673499,11.20227303,3.551673499,10.02029683,3.605763936,8.932878727,3.605763936,7.798181575,3.569703645,6.716673352,3.515613209,5.658804653,2.947663628,4.925979409,2.848497828,3.779462495,2.776377246,3.034817489,2.731301883,1.734643669,2.803422464,0.741783661
3.551673499,17.8686188,3.569703645,16.8107501,3.569703645,15.64059366,3.58773379,14.55908544,3.605763936,13.35346972,3.551673499,12.28969114,3.58773379,11.20227303,3.58773379,10.02029683,3.641824226,8.956518251,3.641824226,7.798181575,3.605763936,6.710763471,3.524628281,5.623345367,2.9566787,4.825511432,2.848497828,3.732183447,2.785392319,2.987538441,2.731301883,1.699184383,2.833472707,0.694504613
3.58773379,17.8686188,3.605763936,16.80484022,3.605763936,15.63468378,3.623794081,14.55908544,3.641824226,13.3593796,3.58773379,12.28969114,3.623794081,11.20818291,3.623794081,10.03211659,3.677884517,8.956518251,3.677884517,7.798181575,3.641824226,6.710763471,3.551673499,5.652894772,2.947663628,4.795962027,2.839482755,3.708543923,2.785392319,2.940259393,2.776377246,1.758283193,2.830467682,0.641315684
3.623794081,17.87452868,3.641824226,16.82256986,3.641824226,15.64059366,3.659854372,14.55908544,3.677884517,13.38301912,3.623794081,12.28969114,3.659854372,11.20818291,3.659854372,10.02620671,3.713944808,8.962428132,3.713944808,7.810001337,3.659854372,6.758042519,3.58773379,5.664714534,2.992738991,4.807781789,2.875543046,3.791282257,2.794407392,2.881160583,2.776377246,1.711004145,2.82145261,0.599946517
