Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.017877006,18.12489527,2.017877006,17.03702346,2.017877006,15.92600545,2.017877006,14.83813364,2.017877006,13.72711563,2.000317813,12.66239003,2.017877006,11.57451822,2.017877006,10.48664642,2.052995392,9.283043569,2.000317813,8.010002095,2.052995392,6.829545455,2.000317813,5.625942606,2.017877006,4.445485966,2.035436199,3.311321743,2.017877006,2.154011311,2.017877006,0.99670088,2.000317813,0.001413909
2.052995392,18.12489527,2.052995392,17.03702346,2.052995392,15.92600545,2.052995392,14.83813364,2.052995392,13.72711563,2.035436199,12.66239003,2.052995392,11.57451822,2.052995392,10.48664642,2.088113777,9.283043569,2.035436199,8.010002095,2.088113777,6.829545455,2.035436199,5.625942606,2.052995392,4.445485966,2.070554584,3.311321743,2.052995392,2.154011311,2.052995392,0.99670088,2.035436199,0.001413909
2.088113777,18.12489527,2.088113777,17.03702346,2.088113777,15.92600545,2.088113777,14.83813364,2.088113777,13.72711563,2.070554584,12.66239003,2.088113777,11.57451822,2.088113777,10.48664642,2.123232163,9.283043569,2.070554584,8.010002095,2.123232163,6.829545455,2.070554584,5.625942606,2.088113777,4.445485966,2.10567297,3.311321743,2.088113777,2.154011311,2.088113777,0.99670088,2.070554584,0.001413909
2.123232163,18.12489527,2.123232163,17.03702346,2.123232163,15.92600545,2.123232163,14.83813364,2.123232163,13.72711563,2.10567297,12.66239003,2.123232163,11.57451822,2.123232163,10.48664642,2.158350548,9.283043569,2.10567297,8.010002095,2.158350548,6.829545455,2.10567297,5.625942606,2.123232163,4.445485966,2.140791355,3.311321743,2.123232163,2.154011311,2.123232163,0.99670088,2.10567297,0.001413909
2.158350548,18.12489527,2.158350548,17.03702346,2.158350548,15.92600545,2.158350548,14.83813364,2.158350548,13.72711563,2.140791355,12.66239003,2.158350548,11.57451822,2.158350548,10.49243297,2.193468934,9.283043569,2.140791355,8.010002095,2.193468934,6.829545455,2.140791355,5.625942606,2.158350548,4.445485966,2.175909741,3.311321743,2.158350548,2.154011311,2.158350548,1.002487432,2.140791355,0.001413909
2.193468934,18.12489527,2.193468934,17.03702346,2.193468934,15.92600545,2.193468934,14.83813364,2.193468934,13.72711563,2.175909741,12.66239003,2.193468934,11.57451822,2.193468934,10.49243297,2.228587319,9.283043569,2.175909741,8.010002095,2.228587319,6.829545455,2.175909741,5.625942606,2.193468934,4.445485966,2.211028126,3.311321743,2.193468934,2.154011311,2.193468934,1.019847088,2.175909741,0.001413909
2.228587319,18.12489527,2.228587319,17.03702346,2.228587319,15.92600545,2.228587319,14.83813364,2.228587319,13.72711563,2.211028126,12.66239003,2.228587319,11.57451822,2.228587319,10.48664642,2.263705705,9.283043569,2.211028126,8.010002095,2.263705705,6.829545455,2.211028126,5.631729158,2.228587319,4.445485966,2.246146512,3.317108295,2.228587319,2.154011311,2.228587319,0.99670088,2.211028126,0.001413909
2.263705705,18.12489527,2.263705705,17.03702346,2.263705705,15.92600545,2.263705705,14.83813364,2.263705705,13.72711563,2.246146512,12.66239003,2.263705705,11.57451822,2.263705705,10.48664642,2.29882409,9.283043569,2.246146512,8.010002095,2.29882409,6.829545455,2.246146512,5.625942606,2.263705705,4.445485966,2.281264898,3.317108295,2.263705705,2.154011311,2.263705705,0.99670088,2.249073044,0.016844714
2.29882409,18.12489527,2.29882409,17.03702346,2.29882409,15.92600545,2.29882409,14.83813364,2.29882409,13.72711563,2.281264898,12.66239003,2.29882409,11.58030478,2.29882409,10.48664642,2.333942476,9.283043569,2.281264898,8.010002095,2.333942476,6.835332007,2.281264898,5.625942606,2.29882409,4.445485966,2.316383283,3.317108295,2.29882409,2.154011311,2.29882409,0.99670088,2.28419143,0.016844714
2.333942476,18.12489527,2.333942476,17.03702346,2.333942476,15.92600545,2.333942476,14.83813364,2.333942476,13.73290218,2.316383283,12.66239003,2.333942476,11.58030478,2.333942476,10.49243297,2.369060861,9.288830121,2.316383283,8.010002095,2.369060861,6.852691663,2.316383283,5.63751571,2.333942476,4.45705907,2.351501669,3.334467951,2.307603687,2.188730624,2.333942476,0.99670088,2.319309815,0.016844714
2.369060861,18.12489527,2.369060861,17.03702346,2.369060861,15.92600545,2.369060861,14.83813364,2.369060861,13.72711563,2.351501669,12.66239003,2.369060861,11.57451822,2.369060861,10.49821952,2.404179247,9.283043569,2.351501669,8.010002095,2.404179247,6.858478215,2.351501669,5.649088814,2.371987393,4.460916771,2.386620054,3.346041056,2.333942476,2.159797863,2.369060861,1.054566401,2.351501669,0.036133222
2.404179247,18.12489527,2.404179247,17.03702346,2.404179247,15.92600545,2.404179247,14.83813364,2.404179247,13.72711563,2.386620054,12.66239003,2.407105779,11.58994903,2.404179247,10.50979263,2.439297632,9.294616674,2.386620054,8.010002095,2.439297632,6.887410976,2.386620054,5.678021575,2.404179247,4.480205279,2.42173844,3.351827608,2.369060861,2.154011311,2.369060861,1.019847088,2.386620054,0.024560117
2.439297632,18.12489527,2.439297632,17.03702346,2.439297632,15.92600545,2.439297632,14.83813364,2.439297632,13.73290218,2.42173844,12.66239003,2.439297632,11.57451822,2.39539965,10.48664642,2.474416018,9.31197633,2.42173844,8.015788647,2.474416018,6.910557185,2.42173844,5.672235023,2.39539965,4.445485966,2.442224164,3.392333473,2.386620054,2.188730624,2.407105779,1.054566401,2.42173844,0.05927943
2.474416018,18.12489527,2.474416018,17.03702346,2.474416018,15.92600545,2.474416018,14.83813364,2.474416018,13.72711563,2.456856825,12.66239003,2.474416018,11.59766443,2.439297632,10.52715228,2.465636421,9.283043569,2.456856825,8.044721408,2.465636421,6.875837872,2.439297632,5.71852744,2.439297632,4.526497696,2.456856825,3.450198995,2.404179247,2.154011311,2.39539965,1.008273984,2.439297632,0.105571848
